Beam energy (GeV),sensor thickness (µm),un-irradiated diode HV (V),irradiated diode HV (V), #events,RUN
100,120,600,600,100k,3729
100,120,600,600,100k,3733
100,120,600,800,100k,3737
100,120,600,800,20k,3751
100,120,600,800,35k,3752
100,120,600,800,50k,3753
100,200,600,600,100k,3767
100,200,600,600,84k,3768
100,200,600,800,100k,3756
100,200,600,800,90k,3766
100,300,600,600,40k,3779
150,120,600,600,50k,3719
150,120,600,600,70k,3725
150,120,600,800,90k,3713
150,120,600,800,7k,3714
150,120,600,800,70k,3717
150,200,600,600,107k,3769
150,200,600,600,33k,3771
150,200,600,800,100k,3772
150,200,600,800,70k,3773
150,300,600,600,100k,3776
150,300,600,600,104k,3777
150,300,600,600,32k,3778
150,300,600,800,100k,3774
150,300,600,800,63k,3775
ped,120,600,600,,3656
150,120,600,600,62k,3657
150,120,600,600,100k,3660
150,120,600,600,42k,3662
ped,200,600,800,,3663
150,200,600,800,100k,3664
150,200,600,800,100k,3665
ped,120,600,600,,3683
ped,120,600,600,,3688
150,120,600,600,50k,3684
150,120,600,600,120k,3689
150,120,600,600,77k,3691
150,120,600,600,41k,3692
ped,120,600,700,,3693
150,120,600,700,55k,3694
150,120,600,700,50k,3695
150,120,600,700,100k,3696
ped,120,600,800,,3697
150,120,600,800,130k,3698
150,120,600,800,130k,3699
150,120,600,800,130k,3700
150,120,600,800,130k,3701
150,120,600,800,130k,3702
150,120,600,800,130k,3703
150,120,600,800,130k,3704
150,120,600,800,130k,3705
150,120,600,800,150k,3706
ped,200,600,600,,3666
150,200,600,600,38k,3667
150,200,600,600,100k,3668
150,200,600,600,113k,3669
ped,200,600,800,,3670
150,200,600,800,114k,3671
150,200,600,800,109k,3672
150,200,600,800,22k,3676
ped,300,600,600,,3675
150,300,600,600,85k,3676
150,300,600,600,35k,3677
150,300,600,600,100k,3678
ped,300,600,800,,3679
150,300,600,800,100k,3682
